年份,理一本,理二本,文一本,文二本,报考（万）
2004,589,533,599,564,50
2005,568,523,565,522,72
2006,590,548,591,547,78
2007,596,553,589,552,87.8
2008,563,517,557,513,98.8
2009,567,520,552,510,95.9
2010,552,500,532,489,95.2
2011,582,530,562,515,85.5
2012,540,481,557,509,80.5
2013,505,443,519,465,71.6
2014,547,476,536,483,72.4
2015,529,458,513,455,77.2
2016,523,447,517,458,82
2017,484,342,516,389,86.3
2018,499,374,547,436,98.3
2019,502,385,536,447,108.8
